name,ingredients,price
Margarita,"sos, mozzarella","14,00 zł"
Pieczara,"sos, pieczarki, cebula, mozzarella","16,00 zł"
Pesto,"sos, nasiona słonecznika, mozarella, mozzarella galbani, suszone pomidory, świeża bazylia","20,00 zł"
Szpinakowa,"sos, ser pleśniowy, pieczarki, oliwki, mozzarella, suszone pomidory, szpinak","22,00 zł"
Krewetka,"sos, pieczarki, krewetki, natka pietruszki, czosnek","19,00 zł"
Tuńczyk,"sos, cebula, tuńczyk, czarne oliwki, mozzarella","19,00 zł"
Serowa,"sos, sery: pleśniowy, mozzarella, wędzony, ricotta, bazylia","22,00 zł"
Tradycyjna,"sos, szynka, pieczarki, mozzarella","18,00 zł"
Kalifornijska,"sos, ser, kurczak, ananas, kukurydza","21,00 zł"
Włoska,"sos, pomidory, mozzarella, szynka parmeńska, rucola, parmezan","22,00 zł"
Suszone Pomidory,"sos, salami peperoni, oliwki, mozzarella galbani, pomidorki koktajlowe, suzone pomidory, rucola, parmezan","24,00 zł"
Mozzarella,"sos, oliwki, mozzarella, pomidory koktajlowe, ser wędzony, mozzarella galbani, szynka parmeńska, bazylia","24,00 zł"
Rucola,"sos, salami, szynka, mozzarella, mozzarella galbani, suszone pomidory, rucola","24,00 zł"
Brokułowa,"sos, kurczak, pieczarki, kukurydza, brokuły, camembert, mozzarella","24,00 zł"
Kebab,"sos, cebula, pieczarki, kukurydza, kebab, mozzarella","22,00 zł"
Barbecue,"sos bbq, somidory, szynka, kurczak, papryka, czerwona cebula, mozzarella","25,00 zł"
Salami,"sos, salami, papryka, mozzarella, pieprz młotkowany","19,00 zł"
Meksykańska,"sos chilli, cebula, pieczarki, salami, szynka, papryka, czerwona fasola, mozzarella, tabasco","22,00 zł"
Pepperoni,"sos, salami peperoni, kiełbasa chorizo, pieczrki, papryka jalapeno, mozzarella","22,00 zł"
Wiejska,"sos, boczek, kiełbasa, ogórek konserwowy, mozzarella, czerwona cebula, chrzann tarty","21,00 zł"
Rzeźnicka,"sos, boczek, salami, szynka, pieczarki, cebula, mozzarella","26,00 zł"
Prowansalska,"sos, kurczak, czosnek, cukinia, cebula, papryka, mozzarella","22,00 zł"
Sosy,"czosnkowy, pomidorowo-ziołowy, koktajlowy, chili, bbq, tzatziki","2 zł"